2017 9   6   23  30  6.765     73.113    148.100   1.80      N0K7AJP   
2017 9   7   2   0   7.256     76.295    0.000     1.70      3ZGHXQS   
2017 9   7   2   18  6.828     73.078    137.900   1.20      OK37ZGV   
2017 9   7   2   48  6.968     73.446    120.900   1.10      413OHOQ   
2017 9   7   4   7   5.838     73.739    125.000   1.10      SKO9IS7   
2017 9   7   4   16  6.781     73.121    146.100   1.60      LRBKBS3   
2017 9   7   4   33  4.860     73.625    0.100     1.60      WOU9JKG   
2017 9   7   4   45  4.452     73.307    0.000     1.00      PL1401V   
2017 9   7   5   43  10.844    73.655    68.100    1.00      D92RSLG   
2017 9   7   7   6   6.775     73.138    142.700   1.70      L984PQV   
2017 9   7   7   20  4.645     74.793    1.400     2.10      66LYKHN   
2017 9   7   7   27  6.743     73.102    141.000   1.30      HGV7ZEB   
2017 9   7   7   44  11.553    77.467    18.800    2.30      3LRC76Q   
2017 9   7   7   50  6.776     73.128    141.100   1.40      LQFJ8ZX   
2017 9   7   8   5   6.413     73.177    210.600   1.50      CUP1E6V   
2017 9   7   9   33  3.603     76.315    12.300    1.30      PJACV5K   
2017 9   7   9   42  7.478     75.342    27.200    1.60      WVJJR4N   
2017 9   7   11  38  7.032     73.309    117.600   1.70      VOODHQ6   
2017 9   7   11  51  6.767     73.131    136.200   1.70      1DBV3JT   
2017 9   7   12  4   6.045     73.534    116.300   1.40      XWAK06Z   
2017 9   7   12  5   4.123     76.330    126.900   1.40      4AIIXJR   
2017 9   7   12  43  3.264     74.388    4.000     2.00      KA8R9YQ   
2017 9   7   13  28  3.945     76.222    108.000   1.70      FCUSX2N   
2017 9   7   14  4   6.795     73.050    135.800   1.40      8TY11T3   
2017 9   7   16  44  6.771     73.125    146.500   1.20      V0GK8NJ   
2017 9   7   17  23  6.775     73.178    139.500   1.70      X9BRTD3   
2017 9   7   17  57  6.748     73.133    144.000   1.70      ATWY6IJ   
2017 9   7   18  4   5.614     73.940    108.300   1.50      QV4YENF   
2017 9   7   19  12  6.747     73.199    135.800   1.40      0X0N5TK   
2017 9   7   19  13  6.776     73.128    139.300   1.30      XOVHLRN   
2017 9   7   19  15  6.787     73.094    149.000   2.30      MQ136Z4   
2017 9   7   19  44  6.813     73.155    138.900   1.60      720LCUF   
2017 9   7   21  23  3.218     78.664    2.000     3.00      P81RML0   
2017 9   7   21  58  4.151     76.817    71.800    1.40      F465TAZ   
2017 9   7   22  8   7.516     72.939    154.900   1.70      LPLLDIX   
2017 9   7   22  23  6.779     73.104    141.900   1.30      HOSA0IH   
2017 9   7   23  49  6.754     72.968    148.100   1.20      4VVPDDI   
2017 9   7   23  56  7.060     73.442    109.100   1.00      D5VJTTW   
2017 9   8   0   18  6.767     73.109    141.500   1.40      7FVD26G   
2017 9   8   0   34  3.832     76.795    93.300    1.80      GQ04XQJ   
2017 9   8   3   12  6.785     73.125    150.800   1.40      99YVY0F   
2017 9   8   3   24  4.895     73.755    0.100     1.10      UL1G5CS   
2017 9   8   3   37  5.670     76.382    61.200    1.70      HIN2MZ2   
2017 9   8   3   44  6.765     73.132    144.000   1.10      EKDABF2   
2017 9   8   4   26  6.751     73.120    147.400   1.20      UH3N9YA   
2017 9   8   5   28  6.837     73.318    117.700   1.50      CY7M8N7   
2017 9   8   5   32  6.774     73.096    144.700   1.50      PIZ8AH7   
2017 9   8   5   33  6.846     73.031    149.500   1.40      5PTLYIN   
2017 9   8   5   56  2.008     76.092    4.000     1.60      W8JP0I2   
2017 9   8   6   0   6.810     73.110    146.800   2.10      L7UR30M   
2017 9   8   6   14  6.837     73.088    146.000   1.20      FS175PD   
2017 9   8   6   21  8.754     73.410    111.400   1.20      JEF8CUL   
2017 9   8   6   34  6.655     73.189    142.800   1.50      GKRPOIN   
2017 9   8   7   23  6.814     73.127    146.800   1.10      ETHUT00   
2017 9   8   7   26  6.796     73.188    140.200   1.10      CU7OG5Q   
2017 9   8   7   52  6.067     72.927    0.000     2.50      0N0MQJ7   
2017 9   8   8   22  6.768     73.125    142.000   1.60      V6LTCPV   
2017 9   8   10  17  5.931     73.752    110.900   1.50      6ZL8M1R   
2017 9   8   10  20  5.307     74.508    18.500    1.00      HAW4U0G   
2017 9   8   10  32  5.288     72.832    0.100     2.50      1F4HQZU   
2017 9   8   10  35  6.785     73.141    140.000   1.20      4XCN0PL   
2017 9   8   11  19  4.315     76.851    16.100    1.20      AIWH123   
2017 9   8   11  29  6.573     73.174    20.700    2.00      56HPV90   
2017 9   8   12  23  5.306     73.789    141.400   1.20      AKCI6LL   
2017 9   8   12  31  6.759     73.112    141.900   1.20      MNWTGQZ   
2017 9   8   12  36  6.773     73.112    138.100   1.30      OJC86UF   
2017 9   8   14  10  6.784     73.143    145.900   1.40      HW5RPVZ   
2017 9   8   15  3   6.861     76.187    2.200     1.80      H3S0OJX   
2017 9   8   15  5   2.434     75.492    7.200     1.30      FGAEY5Q   
2017 9   8   15  12  5.272     73.742    144.000   3.50      LV85ZKU   
2017 9   8   15  16  5.934     75.818    6.000     1.30      SLAWNBV   
2017 9   8   16  3   6.813     73.160    139.000   1.60      UWS03O8   
2017 9   8   16  50  5.702     74.221    35.100    2.30      4HDG5RZ   
2017 9   8   16  58  6.759     73.122    149.400   1.70      LJ4QIM5   
2017 9   8   17  39  6.578     73.368    116.600   1.20      MF1CLSX   
2017 9   8   18  3   7.396     73.189    135.100   1.60      Y5WX0PJ   
2017 9   8   19  24  6.803     73.182    138.400   0.80      K8Y1CML   
2017 9   8   19  35  6.793     73.122    149.800   1.50      47QT396   
2017 9   8   20  34  6.809     73.113    148.000   1.70      CG2DY0W   
2017 9   8   21  22  6.827     73.132    151.700   1.70      L7XUZGF   
2017 9   8   21  25  6.593     73.415    121.000   1.90      A8X2UHZ   
2017 9   8   21  27  6.814     73.140    145.700   2.10      U12KG4D   
2017 9   8   22  26  1.882     75.990    1.500     2.10      UELH2FV   
2017 9   8   22  30  6.802     73.139    149.400   1.40      UQ0K339   
2017 9   9   3   17  3.754     76.846    0.000     1.50      LBBB4FU   
2017 9   9   3   55  6.806     73.105    149.600   2.00      DNG9AUL   
2017 9   9   4   12  5.340     75.968    80.000    1.50      8QLCPJ9   
2017 9   9   5   6   7.090     75.271    0.000     3.10      5WN2DZS   
2017 9   9   6   0   6.805     73.137    146.300   2.10      NCJU6YW   
2017 9   9   6   3   7.089     75.292    12.000    1.80      HM2RZ2Z   
2017 9   9   6   9   6.559     73.522    133.700   1.10      EPYM9WH   
2017 9   9   6   13  6.772     73.126    146.700   1.50      J1CZZOP   
2017 9   9   6   50  4.793     76.249    105.500   1.30      THJ4XII   
2017 9   9   6   59  6.303     74.386    32.100    1.10      T8YXK77   
2017 9   9   8   16  6.771     73.124    140.000   1.30      ZLTX0YI   
2017 9   9   9   53  6.800     73.108    146.400   1.40      8JJE0JW   
2017 9   9   10  8   7.204     76.021    41.900    1.50      4VGRCLD   
