;;;;;;;Parametros de la Consulta;;;;;;;;
;;;;;;Fecha_Incial;01/06/1993;;;;;;;;
;;;;;;Fecha_Final;06/05/2014;;;;;;;;
;;;;;;Departamento;CALDAS;;;;;;;;
;;;;;;Municipio;;;;;;;;;
;;;;;;Total_Registros;467;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;Red Sismologica Nacional;;;;;;;;
;;;;;;;de Colombia;;;;;;;;
;;;;;;;;;;;;;;;
Fecha;Hora UTC;Latitud;Longitud;Profundidad;Magnitud;Magnitud;Departamento;Municipio;# Estaciones;Rms;Gap;Error Latitud (Km);Error Longitud (Km);Error Profundidad (Km);Estado
aaaa/mm/dd;hh:mm:ss;Grados;Grados;Km;Ml;Mw;;;;Seg;Grados;;;;
24/07/1996;12:47:26;4.967;-75.839;3.9;2.5;;CALDAS;BELALCAZAR;4;1.20;246;12.7;37.6;34.1;Revisado
27/09/1996;16:25:19;4.333;-75.244;25.4;2.4;;CALDAS;VOLCAN_CERRO_MACHIN;4;0.60;153;6;11.7;10.2;Revisado
01/11/1996;05:37:35;5.574;-74.802;15.8;2.3;;CALDAS;LA_DORADA;6;0.40;105;3;4.9;5.4;Revisado
09/11/1996;15:36:41;5.426;-74.865;19.9;2;;CALDAS;VICTORIA;5;0.10;134;1.9;3.5;4;Revisado
05/12/1996;02:38:05;5.49;-74.87;73.5;1.8;;CALDAS;SAMANA;0;0.00;0;0;0;0;Revisado
09/03/1997;00:35:01;5.065;-75.82;133.5;2.5;;CALDAS;VITERBO;7;0.60;163;7.1;6.6;10.8;Revisado
27/03/1997;03:11:01;5.376;-74.724;8.4;2;;CALDAS;LA_DORADA;4;0.10;111;2;3.5;12.7;Revisado
14/05/1997;03:50:20;5.607;-74.883;32.1;2.2;;CALDAS;SAMANA;4;0.50;124;5.1;4.7;22.3;Revisado
27/05/1997;03:58:45;4.676;-75.297;138.8;3.4;;CALDAS;VOLCAN_NEVADO_DEL_RUIZ;7;0.50;94;19.9;9.9;36.3;Revisado
09/06/1997;13:50:50;5.062;-75.847;19.4;2.1;;CALDAS;VITERBO;4;0.70;138;3.7;6.7;6.2;Revisado
13/07/1997;20:10:32;5.212;-75.497;4;2.6;;CALDAS;NEIRA;5;0.70;191;4.4;10.8;13.5;Revisado
13/09/1997;09:54:43;5.618;-74.863;8.4;3;;CALDAS;SAMANA;6;0.60;107;4.5;6.6;11.8;Revisado
20/09/1997;06:32:10;5.595;-74.811;2.9;1.6;;CALDAS;LA_DORADA;4;0.50;181;4.4;6.7;7.6;Revisado
02/10/1997;10:47:06;5.166;-75.368;123.1;2.6;;CALDAS;ARANZAZU;8;0.70;117;6.1;9.1;12.7;Revisado
30/10/1997;05:15:13;4.385;-75.116;8.9;1.9;;CALDAS;VOLCAN_CERRO_MACHIN;4;0.50;128;4.3;4.3;20.8;Revisado
15/11/1997;06:47:15;5.187;-75.137;95.8;1.8;;CALDAS;MANZANARES;4;0.40;192;8.7;18.1;21.5;Revisado
12/03/1998;22:36:53;5.455;-74.668;10;2.5;;CALDAS;LA_DORADA;5;0.50;194;12.7;8.6;17.3;Revisado
14/03/1998;00:16:57;5.469;-74.664;5.1;1.7;;CALDAS;LA_DORADA;5;0.40;123;3.2;3.2;8.3;Revisado
14/03/1998;01:03:34;5.499;-74.66;4;1.8;;CALDAS;LA_DORADA;5;0.50;125;4.1;5.3;10.9;Revisado
28/03/1998;22:34:04;5.159;-75.632;0;2.3;;CALDAS;NEIRA;4;1.30;218;12.3;45;49.2;Revisado
19/07/1998;16:24:09;5.409;-75.603;102.6;2.1;;CALDAS;MARMATO;5;0.30;202;3.9;12.5;13;Revisado
27/07/1998;00:37:01;5.362;-74.76;15.2;1.9;;CALDAS;LA_DORADA;4;0.40;113;3.2;25;55.4;Revisado
11/10/1998;14:26:50;5.275;-75.055;30.4;2.2;;CALDAS;MARQUETALIA;4;0.20;130;2;4.2;13.3;Revisado
25/10/1998;21:26:40;5.388;-74.708;3.5;3.4;;CALDAS;LA_DORADA;5;0.20;147;2.1;2;4.3;Revisado
07/01/1999;06:36:45;4.454;-75.134;0;2.1;;CALDAS;VOLCAN_NEVADO_DEL_RUIZ;4;0.90;113;15.9;12.5;35.7;Revisado
14/01/1999;10:43:51;5.484;-74.664;32.1;2.3;;CALDAS;LA_DORADA;4;0.30;102;3;2.8;13.7;Revisado
07/02/1999;01:06:42;4.978;-75.581;122.3;3.5;;CALDAS;CHINCHINA;11;1.20;65;9.3;9.9;21.4;Revisado
12/02/1999;08:04:18;4.334;-75.309;4;2.7;;CALDAS;VOLCAN_CERRO_MACHIN;4;0.10;205;2.4;5.7;3.3;Revisado
26/02/1999;03:33:28;4.668;-75.262;36;2.5;;CALDAS;VOLCAN_NEVADO_DEL_RUIZ;3;0.60;295;17;31.9;14;Revisado
07/03/1999;03:25:33;4.512;-75.116;20.4;2.8;;CALDAS;VOLCAN_NEVADO_DEL_RUIZ;5;0.60;204;5.4;23.5;13.5;Revisado
08/04/1999;09:02:04;4.517;-75.213;20;2;;CALDAS;VOLCAN_NEVADO_DEL_RUIZ;4;0.50;170;7.1;14.2;6.4;Revisado
08/04/1999;20:01:53;4.369;-75.187;4;2.4;;CALDAS;VOLCAN_CERRO_MACHIN;4;0.30;168;5;10.9;8.7;Revisado
09/04/1999;02:19:05;5.166;-75.799;17.8;1.9;;CALDAS;RISARALDA;3;0.30;225;4;15.5;6.5;Revisado
12/04/1999;21:44:29;5.146;-75.737;76;2.2;;CALDAS;RISARALDA;3;0.20;220;4.8;22.3;13.3;Revisado
